Variable,"GTB, GTA","GTB, SLTA","GTA, GTB","GTA, SLTA","SLTA, GTB","SLTA, GTA",Mean
Density_Buildings.100,0.013262916,0.008031412,0.06844557,0.014024938,0.012628086,0.009791777,0.021030783166666664
Density_Buildings.1000,0.0,0.013400836,0.0015033626,0.021312146,0.009591701,0.010257866,0.0093443186
Density_Buildings.200,0.0,0.013769199,0.0057167057,0.020546664,0.010256791,0.010611501,0.010150143450000001
Density_Buildings.25,0.041747063,0.055345938,0.00938658,0.01657257,0.01130037,0.012305375,0.02444298266666667
Density_Buildings.50,0.038825285,0.0059101777,0.047755376,0.020611485,0.010527697,0.009850839,0.02224680995
Density_Buildings.500,0.012388673,0.0072902865,0.003315965,0.010266355,0.009699069,0.0087016765,0.008610337499999999
Density_Moderns.100,0.022751182,0.017720154,0.025399579,0.011621911,0.009236094,0.009638411,0.016061221833333333
Density_Moderns.1000,0.0,0.005813581,0.0026975006,0.014542673,0.009614023,0.009394639,0.0070104027666666666
Density_Moderns.200,0.02429495,0.0377129,0.011948072,0.0031196887,0.0092387255,0.010255219,0.01609492586666667
Density_Moderns.25,0.0139485635,0.0,0.0030906175,0.014318832,0.01598377,0.012449935,0.009965286333333335
Density_Moderns.50,0.02061587,0.026425136,0.0030413535,0.0062308665,0.009308213,0.0105837155,0.01270085908333333
Density_Moderns.500,0.0,0.00920855,0.009434193,0.057477787,0.009305883,0.009835947,0.015877060000000002
Density_Traditionals.100,0.030188287,0.018774806,0.050611056,0.012311812,0.010378882,0.011674885,0.022323288
Density_Traditionals.1000,0.0028716666,0.03369028,0.0017285609,0.028466843,0.00909505,0.007909787,0.013960364583333334
Density_Traditionals.200,0.027952855,0.0019019268,0.043507643,0.015913237,0.011981245,0.009934061,0.018531827966666664
Density_Traditionals.25,0.07187034,0.03522771,0.0054563293,0.03782348,0.0051551573,0.0047188266,0.02670864053333333
Density_Traditionals.50,0.054182287,0.0,0.055958144,0.02620731,0.008632881,0.008340216,0.025553473000000007
Density_Traditionals.500,0.0,0.0034260405,0.002198351,0.028720725,0.011298129,0.010535857,0.009363183749999998
Frac_bare.100,0.0,0.007941148,0.018195178,0.011531315,0.0082975505,0.009065323,0.009171752416666666
Frac_bare.1000,0.012661582,0.009107866,0.0,0.00557153,0.007661846,0.007534146,0.007089494999999999
Frac_bare.200,0.0,0.007442342,0.002755702,0.011858462,0.008251363,0.008081458,0.0063982211666666665
Frac_bare.25,0.0,0.00754601,0.011445475,0.0065150536,0.008713941,0.008069067,0.007048257766666666
Frac_bare.50,0.0,0.0073536076,0.009971773,0.006624248,0.008138865,0.0080953175,0.006697301849999999
Frac_bare.500,0.0,0.007320891,0.053953942,0.007730108,0.00876937,0.0080491025,0.01430390225
Frac_burn.100,0.0,0.0012670051,0.0014013719,0.006374451,0.012920998,0.01156785,0.005588612666666666
Frac_burn.1000,0.0,0.015017767,0.007628648,0.007905479,0.008637867,0.008137397,0.007887859666666667
Frac_burn.200,0.0,0.0,0.0,0.006664363,0.012230738,0.011391102,0.0050477005
Frac_burn.25,0.0,0.0,0.0011669088,0.003321737,0.0,0.0,0.0007481076333333333
Frac_burn.50,0.0,0.0,0.0016378448,0.005929474,0.010327035,0.010783281,0.0047796057999999995
Frac_burn.500,0.0,0.0003479991,0.0032943094,0.008245326,0.034268226,0.0349354,0.013515210083333333
Frac_grass.100,0.010246787,0.009448847,0.0,0.010434062,0.006821717,0.00646977,0.0072368638333333325
Frac_grass.1000,0.0,0.010492952,0.0,0.001766978,0.010989511,0.009823794,0.005512205833333335
Frac_grass.200,0.0,0.004093477,0.0,0.0025328333,0.0068926155,0.01667152,0.005031740966666667
Frac_grass.25,0.0,0.0028503009,0.0,0.00035980754,0.0075917765,0.0074842637,0.00304769144
Frac_grass.50,0.009184921,0.012236911,0.0,0.0017704595,0.008188961,0.0107089095,0.007015027000000001
Frac_grass.500,0.009965044,0.012223333,0.0,0.00477785,0.014121562,0.015014627,0.009350402666666667
Frac_mound.100,0.0,0.012495571,0.0014824704,0.014437235,0.01001401,0.010535045,0.008160721899999999
Frac_mound.1000,0.0,0.010699706,0.0031635484,0.005754193,0.010085017,0.011423022,0.006854247733333333
Frac_mound.200,0.017920598,0.01008502,0.0039401613,0.007772295,0.010336788,0.01012043,0.010029215383333333
Frac_mound.25,0.0095634805,0.012983177,0.00063932827,0.021442266,0.009319661,0.009235255,0.010530527961666668
Frac_mound.50,0.0,0.018774426,0.0020034122,0.02287956,0.009746003,0.0095061585,0.010484926616666668
Frac_mound.500,0.0024385224,0.059222873,0.0053439736,0.016805459,0.0098197395,0.008624178,0.01704245758333333
Frac_rice.100,0.007860713,0.013957596,0.0023108218,0.003903822,0.008175415,0.007688208,0.007316095966666668
Frac_rice.1000,0.0,0.011322144,0.0,0.008302003,0.008725301,0.008823271,0.006195453166666667
Frac_rice.200,0.0,0.015528486,0.0,0.004462324,0.011355139,0.010989895,0.007055974
Frac_rice.25,0.013281732,0.013191561,0.0015385937,0.008377517,0.009455577,0.010061082,0.009317677116666666
Frac_rice.50,0.007222056,0.013050536,0.002174286,0.0054631783,0.0089169815,0.008739853,0.0075944818
Frac_rice.500,0.0,0.02816697,0.0014012348,0.004264942,0.014513879,0.012751445,0.010183078466666667
Frac_tree.100,0.0,0.015177138,0.01731226,0.014651851,0.008968389,0.009054005,0.010860607166666668
Frac_tree.1000,0.010526166,0.015476776,0.0017882886,0.004928133,0.009845989,0.009670992,0.008706057433333332
Frac_tree.200,0.0,0.0130685065,0.0021950416,0.013380449,0.008993684,0.0102346325,0.007978718933333333
Frac_tree.25,0.0,0.010699971,0.0022144879,0.006822375,0.009948897,0.009077403,0.006460522316666666
Frac_tree.50,0.0,0.009170357,0.0024067834,0.009089037,0.008025822,0.008358373,0.006175062066666667
Frac_tree.500,0.0,0.008676353,0.032982323,0.007595981,0.012448223,0.010599968,0.012050474666666667
Frac_water.100,0.007804373,0.01724914,0.0011426717,0.014104513,0.011070464,0.00997112,0.010223713616666666
Frac_water.1000,0.0071756397,0.010988844,0.0040322794,0.007537448,0.011805053,0.012660684,0.009033324683333333
Frac_water.200,0.0070813047,0.016374964,0.0,0.0,0.009729324,0.01017792,0.007227252116666666
Frac_water.25,0.0,0.0221478,0.0,0.0,0.008967974,0.0090966495,0.006702070583333333
Frac_water.50,0.0034300464,0.02756334,0.0,0.00011177976,0.008914633,0.008786035,0.008134305693333333
Frac_water.500,0.0,0.009221356,0.0,0.0018652832,0.008529863,0.0087764375,0.004732156616666667
House,0.02876222,0.0,0.07785935,0.0,0.058646057,0.051658385,0.036154335333333336
Night,0.0,0.00981828,0.0032018453,0.00012295319,0.009701527,0.0094731115,0.005386286165
P1,0.0074560964,0.028862875,0.0020702374,0.00725028,0.009819833,0.0101596145,0.010936489383333333
P10,0.009433727,0.0,0.0049016406,0.003323544,0.011982748,0.012353265,0.006999154100000001
P11,0.011834458,0.02089537,0.0020960039,0.0020183753,0.01297158,0.011978511,0.0102990497
P12,0.013718595,0.00846132,0.0013629013,0.0,0.010399753,0.009892363,0.007305822050000001
P2,0.012305191,0.009160834,0.0024082866,0.0056054704,0.011564393,0.012503802,0.008924662833333335
P3,0.006675052,0.021695748,0.0045884144,0.0112134125,0.0093071535,0.008320746,0.010300087733333333
P4,0.012183002,0.0067797024,0.0015786012,0.003800534,0.010867714,0.010611176,0.0076367882666666664
P5,0.011701838,0.015415266,0.0018008765,0.032562967,0.0086931875,0.009556887,0.013288503666666666
P6,0.013347034,0.0037412618,0.0019385685,0.044153232,0.011308192,0.011788721,0.01437950155
P7,0.012087448,0.0,0.0049099056,0.003918769,0.012621807,0.012546103,0.007680672100000001
P8,0.01016046,0.011199108,0.005712629,0.0077498727,0.011211921,0.010160383,0.00936572895
P9,0.01159268,0.0,0.0029103307,0.002571045,0.015778411,0.017242609,0.008349179283333332
sc_Density_Buildings.100,0.00912678,0.003310608,0.04140302,0.057411816,0.009218648,0.013885092,0.022392660666666665
sc_Density_Buildings.1000,0.0,0.0068275305,0.001498161,0.004459358,0.011019972,0.009835929,0.0056068250833333335
sc_Density_Buildings.200,0.0,0.0,0.0060443883,0.015526683,0.011143875,0.011329173,0.0073406865499999994
sc_Density_Buildings.25,0.05231935,0.018544734,0.0028701846,0.016489811,0.008783626,0.009978222,0.01816432126666667
sc_Density_Buildings.50,0.0330049,0.0,0.037580248,0.04970589,0.010507696,0.011339281,0.023689669166666667
sc_Density_Buildings.500,0.0,0.0,0.0045708213,0.0008472387,0.009204227,0.0095657455,0.00403133875
sc_Density_Moderns.100,0.014570469,0.0,0.060919676,0.007819901,0.009995511,0.011312252,0.017436301499999998
sc_Density_Moderns.1000,0.0,0.01597373,0.0013915233,0.0009184319,0.0099988375,0.009676706,0.006326538116666666
sc_Density_Moderns.200,0.0,0.0,0.02364201,0.006788583,0.008864261,0.0088101225,0.008017496083333334
sc_Density_Moderns.25,0.014704763,0.0011957961,0.011342773,0.0,0.022870727,0.016979981,0.011182340016666667
sc_Density_Moderns.50,0.03841058,0.0014976707,0.018970085,0.0058305943,0.0102631375,0.010711798,0.014280644250000002
sc_Density_Moderns.500,0.0,0.0,0.005933173,0.0046018786,0.010602286,0.010301153,0.005239748433333333
sc_Density_Traditionals.100,0.02095602,0.0032111956,0.04918912,0.0,0.011877857,0.0107752895,0.016001580350000003
sc_Density_Traditionals.1000,0.0,0.0,0.0,0.00086390605,0.00876356,0.011686512,0.0035523296750000002
sc_Density_Traditionals.200,0.012777168,0.0,0.0033294728,0.0,0.009145147,0.010959797,0.006035264133333333
sc_Density_Traditionals.25,0.091359,0.009776969,0.002341246,0.0,0.011482029,0.011289648,0.021041482
sc_Density_Traditionals.50,0.040250316,0.0,0.05587773,0.024320802,0.00681815,0.0091578895,0.022737481249999997
sc_Density_Traditionals.500,0.0,0.0,0.005038697,0.0061700903,0.0107985595,0.01052476,0.005422017800000001
